pokemon_id;name;classification;type_1;type_2;weight;height;rarity
1;Bulbasaur;Seed Pokèmon;Grass;Poison;6.9;0.7;Uncommon
2;Ivysaur;Seed Pokèmon;Grass;Poison;13.0;1.0;Special
3;Venusaur;Seed Pokèmon;Grass;Poison;1.0;2.0;Epic
4;Charmander;Lizard Pokèmon;Fire;N/A;8.5;0.6;Uncommon
5;Charmeleon;Flame Pokèmon;Fire;N/A;19.0;1.1;Special
6;Charizard;Flame Pokèmon;Fire;Flying;90.5;1.7;Epic
7;Squirtle;Tiny Turtle Pokèmon;Water;N/A;9.0;0.5;Uncommon
8;Wartortle;Turtle Pokèmon;Water;N/A;22.5;1.0;Special
9;Blastoise;Shellfish Pokèmon;Water;N/A;85.5;1.6;Epic
10;Caterpie;Worm Pokèmon;Bug;N/A;2.9;0.3;Very Common
11;Metapod;Cocoon Pokèmon;Bug;N/A;9.9;0.7;Common
12;Butterfree;Butterfly Pokèmon;Bug;Flying;32.0;1.1;Uncommon
13;Weedle;Hairy Pokèmon;Bug;Poison;3.2;0.3;Very Common
14;Kakuna;Cocoon Pokèmon;Bug;Poison;10.0;0.6;Common
15;Beedrill;Poison Bee Pokèmon;Bug;Poison;29.5;1.0;Uncommon
16;Pidgey;Tiny Bird Pokèmon;Normal;Flying;1.8;0.3;Very Common
17;Pidgeotto;Bird Pokèmon;Normal;Flying;30.0;1.1;Common
18;Pidgeot;Bird Pokèmon;Normal;Flying;39.5;1.5;Uncommon
19;Rattata;Mouse Pokèmon;Normal;N/A;3.5;0.3;Very Common
20;Raticate;Mouse Pokèmon;Normal;N/A;18.5;0.7;Common
21;Spearow;Tiny Bird Pokèmon;Normal;Flying;2.0;0.3;Very Common
22;Fearow;Beak Pokèmon;Normal;Flying;38.0;1.2;Uncommon
23;Ekans;Snake Pokèmon;Poison;N/A;6.9;2.0;Very Common
24;Arbok;Cobra Pokèmon;Poison;N/A;65.0;3.5;Common
25;Pikachu;Mouse Pokèmon;Electric;N/A;6.0;0.4;Uncommon
26;Raichu;Mouse Pokèmon;Electric;N/A;30.0;0.8;Very Rare
27;Sandshrew;Mouse Pokèmon;Ground;N/A;12.0;0.6;Very Common
28;Sandslash;Mouse Pokèmon;Ground;N/A;29.5;1.0;Common
