time_key,time_label_24,time_label_12,time_interval_15min,time_interval_30min,time_interval_60min,label_hh,label_hh24,label_15min_24,label_30min_24,label_60min_24,label_15min_12,label_30min_12,label_60min_12
0,00:00,12:00 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM
1,00:01,12:01 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM
2,00:02,12:02 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM
3,00:03,12:03 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM
4,00:04,12:04 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM
5,00:05,12:05 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM
6,00:06,12:06 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM
7,00:07,12:07 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM
8,00:08,12:08 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM
9,00:09,12:09 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM
10,00:10,12:10 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM
11,00:11,12:11 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM
12,00:12,12:12 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM
13,00:13,12:13 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM
14,00:14,12:14 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM
15,00:15,12:15 AM,1,0,0,12 AM,00,00:15,00:00,00:00,12:15 AM,12:00 AM,12:00 AM
16,00:16,12:16 AM,1,0,0,12 AM,00,00:15,00:00,00:00,12:15 AM,12:00 AM,12:00 AM
17,00:17,12:17 AM,1,0,0,12 AM,00,00:15,00:00,00:00,12:15 AM,12:00 AM,12:00 AM
18,00:18,12:18 AM,1,0,0,12 AM,00,00:15,00:00,00:00,12:15 AM,12:00 AM,12:00 AM
19,00:19,12:19 AM,1,0,0,12 AM,00,00:15,00:00,00:00,12:15 AM,12:00 AM,12:00 AM
20,00:20,12:20 AM,1,0,0,12 AM,00,00:15,00:00,00:00,12:15 AM,12:00 AM,12:00 AM
21,00:21,12:21 AM,1,0,0,12 AM,00,00:15,00:00,00:00,12:15 AM,12:00 AM,12:00 AM
22,00:22,12:22 AM,1,0,0,12 AM,00,00:15,00:00,00:00,12:15 AM,12:00 AM,12:00 AM
23,00:23,12:23 AM,1,0,0,12 AM,00,00:15,00:00,00:00,12:15 AM,12:00 AM,12:00 AM
24,00:24,12:24 AM,1,0,0,12 AM,00,00:15,00:00,00:00,12:15 AM,12:00 AM,12:00 AM
25,00:25,12:25 AM,1,0,0,12 AM,00,00:15,00:00,00:00,12:15 AM,12:00 AM,12:00 AM
26,00:26,12:26 AM,1,0,0,12 AM,00,00:15,00:00,00:00,12:15 AM,12:00 AM,12:00 AM
27,00:27,12:27 AM,1,0,0,12 AM,00,00:15,00:00,00:00,12:15 AM,12:00 AM,12:00 AM
28,00:28,12:28 AM,1,0,0,12 AM,00,00:15,00:00,00:00,12:15 AM,12:00 AM,12:00 AM
29,00:29,12:29 AM,1,0,0,12 AM,00,00:15,00:00,00:00,12:15 AM,12:00 AM,12:00 AM
30,00:30,12:30 AM,2,1,0,12 AM,00,00:30,00:30,00:00,12:30 AM,12:30 AM,12:00 AM
31,00:31,12:31 AM,2,1,0,12 AM,00,00:30,00:30,00:00,12:30 AM,12:30 AM,12:00 AM
32,00:32,12:32 AM,2,1,0,12 AM,00,00:30,00:30,00:00,12:30 AM,12:30 AM,12:00 AM
33,00:33,12:33 AM,2,1,0,12 AM,00,00:30,00:30,00:00,12:30 AM,12:30 AM,12:00 AM
