time_key,time_label_24,time_label_12,time_interval_15min,time_interval_30min,time_interval_60min,label_hh,label_hh24,label_15min_24,label_30min_24,label_60min_24,label_15min_12,label_30min_12,label_60min_12,minute_after_hour
0,00:00,12:00 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM,0
1,00:01,12:01 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM,1
2,00:02,12:02 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM,2
3,00:03,12:03 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM,3
4,00:04,12:04 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM,4
5,00:05,12:05 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM,5
6,00:06,12:06 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM,6
7,00:07,12:07 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM,7
8,00:08,12:08 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM,8
9,00:09,12:09 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM,9
10,00:10,12:10 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM,10
11,00:11,12:11 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM,11
12,00:12,12:12 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM,12
13,00:13,12:13 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM,13
14,00:14,12:14 AM,0,0,0,12 AM,00,00:00,00:00,00:00,12:00 AM,12:00 AM,12:00 AM,14
15,00:15,12:15 AM,1,0,0,12 AM,00,00:15,00:00,00:00,12:15 AM,12:00 AM,12:00 AM,15
16,00:16,12:16 AM,1,0,0,12 AM,00,00:15,00:00,00:00,12:15 AM,12:00 AM,12:00 AM,16
17,00:17,12:17 AM,1,0,0,12 AM,00,00:15,00:00,00:00,12:15 AM,12:00 AM,12:00 AM,17
